mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900601,Vivek Thakur,Elected,10-04-2020,04-06-2024,First Term,N/A,Bihar,Bharatiya Janata Party,Male,Professional Graduate,"B.A. (Political Science), LL.B., E.M.I.T. Educated at Kirorimal College, Delhi University, Delhi, Magadh University, Patna and Indian Institute of Foreign Trade (I.I.F.T.), New Delhi",55,29,0,48,0.917098446, Data corresponds to the period from 01-06-2009 to 21-08-2025.,77.03337401,0.8865872,160.6090316,0.798894513,48.80641026,0.883333333,108.5798535,0.82334322,Rajya Sabha
900042,Anbumani Ramadoss (RS),Elected,26-07-2019,24-07-2025,Second Term,N/A,Tamil Nadu,Pattali Makkal Katchi,Male,Professional Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu)",56,7,0,165,0.296089385, Data corresponds to the period from 01-06-2009 to 21-08-2025.,149.4609266,1.792798905,333.979229,0.798894513,227.4816993,1.722222222,332.2542484,0.732548909,Rajya Sabha
900371,Prabhakar Reddy Vemireddy,Elected,03-04-2018,02-04-2024,First Term,N/A,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"B.A. Educated at Rishi Vally School and Educational Centre and Loyala College, Chennai",69,14,0,542,0.607476636, Data corresponds to the period from 01-06-2009 to 21-08-2025.,113.8576551,1.406783328,257.6785368,0.798894513,79.32424242,2.696969697,415.9090909,0.779348793,Rajya Sabha
900458,Rudra Narayan Pany,Elected,04-04-2006,03-04-2012,Second Term,N/A,Odisha,Bharatiya Janata Party,Male,Graduate,B.A. (Hons.) with distinction Educated at Utkal University (Orissa),66,107,0,403,0.837104072, Data corresponds to the period from 01-06-2009 to 21-08-2025.,23.58244777,0.61776919,178.9718321,0.798894513,34.87777778,N/A,171.1222222,0.784052122,Rajya Sabha
900194,K G Kenye,Elected,03-04-2016,02-04-2022,First Term,N/A,Nagaland,Nagaland Peoples Front,Male,Graduate,"BA, Kohima College, Kohima (NEHU)",64,37,0,20,0.394409938, Data corresponds to the period from 01-06-2009 to 21-08-2025.,102.9368569,1.22359988,298.5735271,0.798894513,37,N/A,20,0.621318273,Rajya Sabha
900527,Subhash Chandra,Elected,02-08-2016,01-08-2022,First Term,N/A,Haryana,Independent,Male,Matric,"Matriculation from C.A.V. High School Hisar, Haryana",74,6,0,10,0.545714286, Data corresponds to the period from 01-06-2009 to 21-08-2025.,98.7014746,1.238494897,290.0633598,0.798894513,58.43333333,0.5,223.9333333,0.881263893,Rajya Sabha
900443,Ranjib Biswal,Elected,03-04-2014,02-04-2020,First Term,N/A,Odisha,Indian National Congress,Male,Post Graduate,"B.A.(Hons.), M.A. Educated at BJB College, Bhubaneswar, Odisha and St. Stephen's College, University of Delhi, Delhi",54,23,0,514,0.681372549, Data corresponds to the period from 01-06-2009 to 21-08-2025.,97.86446071,1.500965027,324.7388369,0.798894513,120.7416667,1.2,351.5206349,0.784052122,Rajya Sabha
900156,Gulam Rasool Balyawi,Elected,23-06-2014,07-07-2016,First Term,N/A,Bihar,Janata Dal (United),Male,Under Graduate,"Fazilat Educated at Chashma-E-Rahmat Oriental College, Ghazipur, Uttar Pradesh",56,43,0,216,0.906040268, Data corresponds to the period from 01-06-2009 to 21-08-2025.,34.11944495,0.545676776,116.3493734,0.798894513,49.28571429,0.071428571,84.71428571,0.82334322,Rajya Sabha
900330,Narayan Tatu Rane,Elected,03-04-2018,02-04-2024,First Term,N/A,Maharashtra,Bharatiya Janata Party,Male,Matric,11th Std. (Passed S.S.C.) Educated at Pune Divisional Board,73,1,0,209,0.590062112,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 21-08-2025.",51.65538857,0.520196128,124.1788517,0.798894513,52.94166667,1.65,174.5083333,0.780735151,Rajya Sabha
900471,Saman Pathak,Elected,03-04-2006,02-04-2012,First Term,N/A,West Bengal,Communist Party of India (Marxist),Male,Graduate,"B.A., Diploma in Computer Educated at North Bengal University, Siliguri",51,31,0,79,0.823529412, Data corresponds to the period from 01-06-2009 to 21-08-2025.,23.58244777,0.61776919,178.9718321,0.798894513,37.09223058,0.40952381,125.6536341,0.713256803,Rajya Sabha
900350,P. Kannan,Elected,07-10-2009,06-10-2015,First Term,N/A,Puducherry,Indian National Congress,Male,Inter/ Higher Secondary,"P.U.C. (Intermediate) ; Educated at Tagore Arts College, Puducherry",76,13,0,1,0.531862745, Data corresponds to the period from 01-06-2009 to 21-08-2025.,56.34732959,1.211428335,336.4707291,0.798894513,13,N/A,1,0.745831167,Rajya Sabha
900011,A.V. Swamy,Elected,04-04-2012,03-04-2018,First Term,N/A,Odisha,Independent,Male,Professional Graduate,"B.Sc. (Hons.), B.Sc. (Tech.), LL.B., Certificate in Aid Administration Educated at Ravenshaw College, Cuttack, U.D.C.T., Bombay University, Mumbai, Utkal University, Bhubaneswar and Selly Oak College, Birmingham, U.K.",96,55,0,74,0.94047619, Data corresponds to the period from 01-06-2009 to 21-08-2025.,76.5291343,1.331050954,333.7635875,0.798894513,72.36388889,0.7,362.3333333,0.784052122,Rajya Sabha
900227,Kanjibhai Patel,Elected,03-04-2006,02-04-2012,First Term,N/A,Gujarat,Bharatiya Janata Party,Male,Graduate,"B.A. (Special) Educated at S.B.Garda College, Navsari, Gujarat",89,6,0,258,0.936651584, Data corresponds to the period from 01-06-2009 to 21-08-2025.,23.58244777,0.61776919,178.9718321,0.798894513,15.98601399,N/A,152.4965035,0.849676415,Rajya Sabha
900166,Harshvardhan Singh Dungarpur,Elected,05-07-2016,04-07-2022,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Graduate,B.A. (Hon's) from St. Xavier College (University of Bombay),69,26,0,382,0.897435897, Data corresponds to the period from 01-06-2009 to 21-08-2025.,101.6759078,1.197399006,289.8105045,0.798894513,61.23333333,2.372222222,296.1444444,0.836577527,Rajya Sabha
900201,K. Malaisamy,Elected,30-06-2004,29-06-2010,First Term,N/A,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Male,Doctorate,"B.A., B.L., M.B.A., M.A., Ph.D. Educated at Alagappa College, Karaikudi, Madras Law College, Chennai and University of Madras, Chennai",88,29,0,126,0.976470588, Data corresponds to the period from 01-06-2009 to 21-08-2025.,10.16469479,0.32389617,78.08241781,0.798894513,15.83333333,0.166666667,74.61111111,0.732548909,Rajya Sabha
900246,Lal Sinh Vadodia,Elected,10-04-2014,09-04-2020,First Term,N/A,Gujarat,Bharatiya Janata Party,Male,Professional Graduate,"B.E. (Civil)Educated at Birla Viswakarma Mahavidyalaya, Sardar Patel University, Anand, Gujarat",69,44,0,820,0.909313725, Data corresponds to the period from 01-06-2009 to 21-08-2025.,97.86446071,1.500965027,324.7388369,0.798894513,56.20833333,2.236111111,284.8293651,0.849676415,Rajya Sabha
900072,B. S. Gnanadesikan,Elected,25-07-2007,24-07-2013,Second Term,N/A,Tamil Nadu,Indian National Congress,Male,Professional Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Dr. Ambedkar Law College, Chennai",76,22,0,200,0.539936102, Data corresponds to the period from 01-06-2009 to 21-08-2025.,32.94030559,0.968051246,254.0137784,0.798894513,42.8627451,0.696078431,287.3562092,0.732548909,Rajya Sabha
900266,Madhusudan Devram Mistry,Elected,10-04-2014,09-04-2020,First Term,N/A,Gujarat,Indian National Congress,Male,Post Graduate,"M.A., Diploma on Development Studies (Completed one year of two years course), Certificate Course in Advocacy Studies, Course for Trade Union Officer, Indian Institute of Management (IIM, Ahmedabad)",80,119,0,50,0.816176471, Data corresponds to the period from 01-06-2009 to 21-08-2025.,97.86446071,1.500965027,324.7388369,0.798894513,56.20833333,2.236111111,284.8293651,0.849676415,Rajya Sabha
900275,Mallikarjun Kharge,Elected,26-06-2020,In Office,First Term,N/A,Karnataka,Indian National Congress,Male,Professional Graduate,"B.A., LL.B; Educated at Karnataka University, Karnataka",83,123,0,346,0.515151515, Data corresponds to the period from 01-06-2009 to 21-08-2025.,119.9200152,1.189449349,237.4038253,0.798894513,49.1030303,0.463636364,274.9454545,0.732425211,Rajya Sabha
900522,Smriti Zubin Irani (RS),Elected,18-08-2011,22-05-2019,Second Term,N/A,Gujarat,Bharatiya Janata Party,Female,Graduate,"Educated at Holy Child Auxilium, Delhi and School of Correspondence and Continuing Education, University of Delhi, Delhi",49,51,0,340,0.728723404,"This MP was appointed a minister in May 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 21st Feb, 2014. Data corresponds to the period from 01-06-2009 to 21-08-2025.",20.97777587,0.371741283,145.1635264,0.798894513,19.71328671,0.727272727,170.041958,0.849676415,Rajya Sabha
900633,Luizinho Joaquim Faleiro,Elected,29-11-2021,11-04-2023,First Term,N/A,West Bengal,All India Trinamool Congress,Male,Post Graduate,"B.Com., LL.B., M.Com. Educated at Bombay University and Karnataka University
",74,9,0,57,0.348837209, Data corresponds to the period from 01-06-2009 to 21-08-2025.,42.41797095,0.505669919,84.15084673,0.798894513,87.9375,0.9375,84.6875,0.713256803,Rajya Sabha
900005,A. Vijayaraghavan,Elected,03-04-2004,02-04-2010,Second Term,N/A,Kerala,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode",69,12,0,82,0.735294118, Data corresponds to the period from 01-06-2009 to 21-08-2025.,8.405211727,0.204427143,62.96507346,0.798894513,9,N/A,89.71428571,0.795412107,Rajya Sabha
900500,Shamsher Singh Manhas,Elected,23-02-2015,10-02-2021,First Term,N/A,Jammu and Kashmir,Bharatiya Janata Party,Male,Graduate,Information not available,65,30,0,81,0.957333333, Data corresponds to the period from 01-06-2009 to 21-08-2025.,93.85652855,1.279838907,299.8594905,0.798894513,77.5,0.25,59.75,0.82951221,Rajya Sabha
900356,P.R. Rajan,Elected,02-07-2006,01-07-2012,First Term,N/A,Kerala,Communist Party of India (Marxist),Male,Graduate,"B.Sc. Educated at Government Victoria College, Palakkad (Kerala)",89,9,0,72,0.32231405, Data corresponds to the period from 01-06-2009 to 21-08-2025.,27.34962762,0.729951715,195.8732447,0.798894513,33.25,0.642857143,282.9642857,0.795412107,Rajya Sabha
900618,Sushil Kumar Modi,Elected,26-11-2020,02-04-2024,First Term,N/A,Bihar,Bharatiya Janata Party,Male,Graduate,"B.Sc. Botany (Hons.) Educated at Patna Science College, Patna University, Bihar",73,63,0,282,0.961748634, Data corresponds to the period from 01-06-2009 to 21-08-2025.,71.96286581,0.8865872,153.0692408,0.798894513,43.27893773,0.883333333,105.3655678,0.82334322,Rajya Sabha
900322,Nand Kumar Sai,Elected,30-06-2010,29-06-2016,Second Term,N/A,Chhattisgarh,Bharatiya Janata Party,Male,Post Graduate,"M.A.(Political Science) ; Educated at N.E.S. College (formerly Ravishankar University), Jashpur Nagar, Distt. Raigarh (Madhya Pradesh)",79,48,0,661,0.713097713, Data corresponds to the period from 01-06-2009 to 21-08-2025.,69.63471735,1.417898163,378.0405422,0.798894513,45.6,0.6,497,0.872623273,Rajya Sabha
900461,S. Thangavelu,Elected,30-06-2010,29-06-2016,First Term,N/A,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc. (Agriculture) ; Educated at Agriculture College, Madurai, Tamil Nadu Agriculture University, Tamil Nadu",71,57,0,663,0.789598109, Data corresponds to the period from 01-06-2009 to 21-08-2025.,63.22170818,1.189831851,322.5160792,0.798894513,82.70547386,0.862745098,424.5318627,0.732548909,Rajya Sabha
900373,Prabhu Suresh Prabhakar,Elected,22-06-2016,21-06-2022,Second Term,N/A,Andhra Pradesh,Bharatiya Janata Party,Male,Professional Graduate,C.A.,72,14,0,9,0.826589595,"This MP was a minister from Jun 2016 to May 2019. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 21-08-2025.",68.02666156,0.690558004,137.0027378,0.798894513,51.72727273,1.636363636,225.0909091,0.830306343,Rajya Sabha
900378,Prakash Banda,Elected,03-04-2018,04-12-2021,First Term,N/A,Telangana,Bharat Rashtra Samithi,Male,Doctorate,"M.A., Ph.D. Educated at Osmania University, Hyderabad and Kakatiya University, Warangal ",71,88,0,318,0.878612717, Data corresponds to the period from 01-06-2009 to 21-08-2025.,53.69617748,0.62111356,144.159095,0.798894513,23.28571429,0.428571429,149.9285714,0.721665766,Rajya Sabha
900208,K.E. Ismail,Elected,02-07-2006,01-07-2012,First Term,N/A,Kerala,Communist Party of India,Male,Inter/ Higher Secondary,SSLC Educated at Kizhakkenchery (Kerala),85,1,0,338,0.318181818, Data corresponds to the period from 01-06-2009 to 21-08-2025.,27.34962762,0.729951715,195.8732447,0.798894513,33.25,0.642857143,282.9642857,0.795412107,Rajya Sabha
900174,Ishwarlal Shankarlal Jain,Elected,05-07-2010,04-07-2016,First Term,N/A,Maharashtra,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Intermediate (Science) ; Educated at New English School, Jamner and M.J. College, Jalgaon",79,17,0,616,0.712158809, Data corresponds to the period from 01-06-2009 to 21-08-2025.,63.22170818,1.189831851,322.5160792,0.798894513,61.36478758,2.658905229,509.1454248,0.780735151,Rajya Sabha
900100,Birender Singh,Elected,02-08-2016,20-01-2020,Third Term,N/A,Haryana,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at Government College, Rohtak, Haryana and Department of Law, Chandigarh",79,3,0,38,0.88252149,"This MP was a minister from Jul 2016 to May 2019 . Previously he was with INC. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 21-08-2025.",82.2558706,1.509893554,347.9941855,0.798894513,45.55,2.5,245.4,0.881263893,Rajya Sabha
